Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Panama,PAN,Pump price for gasoline (US$ per liter),0.41,0.53,0.51,0.54,0.7,0.67,0.85,1.05,0.96,0.74,0.895,0.928
Peru,PER,Pump price for gasoline (US$ per liter),0.55,0.8,0.74,1.12,1.22,1.42,1.41,1.63,1.46,0.99,1.31,1.385
Philippines,PHL,Pump price for gasoline (US$ per liter),0.34,0.37,0.35,0.52,0.76,0.91,1.05,1.25,1.05,0.86,1.055,1.053
Papua New Guinea,PNG,Pump price for gasoline (US$ per liter),0.41,0.53,0.77,0.94,0.88,0.94,1.02,1.05,1.36,1.2,0.98,0.68
Poland,POL,Pump price for gasoline (US$ per liter),0.54,0.76,0.83,1.2,1.3,1.43,1.57,1.74,1.42,1.07,1.405,1.413
Pre-demographic dividend,PRE,Pump price for gasoline (US$ per liter),0.635,0.68,0.665,0.92,1.12,1.22,1.275,1.39,1.35,0.97,1.18,1.265
"Korea, Dem. People's Rep.",PRK,Pump price for gasoline (US$ per liter),0.73,0.55,0.55,0.78,0.71,0.76,0.8,0.88,0.94,0.58,0.29,0.615
Portugal,PRT,Pump price for gasoline (US$ per liter),1.02,0.77,0.97,1.38,1.56,1.61,1.85,2.15,1.89,1.54,1.845,1.868
Paraguay,PRY,Pump price for gasoline (US$ per liter),0.47,0.72,0.56,0.62,0.97,1.17,1.28,1.74,1.59,1.04,1.39,1.49
West Bank and Gaza,PSE,Pump price for gasoline (US$ per liter),0.86,1.08,0.99,1.17,1.29,1.34,1.71,1.87,1.77,1.54,1.705,1.738
Post-demographic dividend,PST,Pump price for gasoline (US$ per liter),0.775,0.795,0.88,1.21,1.3,1.37,1.63,1.86,1.69,1.29,1.575,1.633
Qatar,QAT,Pump price for gasoline (US$ per liter),0.16,0.19,0.22,0.21,0.19,0.22,0.19,0.27,0.23,0.4,0.335,0.283
Romania,ROU,Pump price for gasoline (US$ per liter),0.53,0.46,0.64,0.96,1.26,1.11,1.46,1.7,1.59,1.16,1.43,1.51
Russian Federation,RUS,Pump price for gasoline (US$ per liter),0.28,0.33,0.35,0.55,0.77,0.89,0.84,0.99,0.81,0.59,0.79,0.8
Rwanda,RWA,Pump price for gasoline (US$ per liter),0.72,0.89,0.84,0.98,1.11,1.37,1.63,1.73,1.41,1.17,1.45,1.43
South Asia,SAS,Pump price for gasoline (US$ per liter),0.575,0.59,0.53,0.72,0.91,1.09,1.12,1.22,1.185,0.91,1.065,1.125
Saudi Arabia,SAU,Pump price for gasoline (US$ per liter),0.16,0.24,0.24,0.24,0.16,0.16,0.16,0.16,0.16,0.24,0.2,0.18
Sudan,SDN,Pump price for gasoline (US$ per liter),0.33,0.28,0.3,0.47,0.72,0.65,0.62,0.63,0.82,0.95,0.79,0.805
Senegal,SEN,Pump price for gasoline (US$ per liter),0.71,0.73,0.75,1.1,1.31,1.35,1.57,1.72,1.7,1.14,1.43,1.565
Singapore,SGP,Pump price for gasoline (US$ per liter),0.72,0.84,0.85,0.89,0.92,1.07,1.42,1.68,1.58,1.25,1.465,1.523
